group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0002_r0000,0,49,"friend, yes, great, need, way, windows, better, day, check, friends, fun, great fun, hot, husband, phone"
docform_cluster,c0002_r0000,1,10,"fun, windows, need, phone, yes, great, meeting, hes, friends, friend, great fun, problem, tell, trust, way"
