doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
00381fa51e0b1554bcc0b7ce,-2.8979623,-1.0903999,7.460996,2.5365913,3.7305071,3.907425,3.622767,5.723312,5.575831,3.1535711,-1
006731098812453a458f3f48,-2.8309774,-1.2186313,8.014471,2.1592667,2.744769,4.2304764,3.6684701,5.4942923,6.734279,3.5697966,5
00d80ce0d8e916839d6c0200,-2.7665393,-0.9857094,7.870358,2.4749634,3.4429748,3.9594574,4.3994365,5.2393174,6.025192,3.2295382,-1
0339550e4dd9b6ea2aabf8db,-2.7888606,-0.9186513,7.9070125,2.932555,3.7452843,4.591791,3.171702,6.0691733,6.1651583,3.211795,7
0433fa4173a970b3e870d933,-2.5989802,-0.9632317,8.253978,2.1741443,3.4734254,5.2779984,3.28982,5.9426775,6.159168,3.0165334,3
06e9df5a9796986ac2026e6a,-3.3213286,-0.42893392,8.081703,2.1587434,3.407587,4.986953,3.811641,5.516008,6.637178,2.7124345,4
0ac6dc5ad492f70668ed6bf7,-2.91677,-1.6439433,7.074794,2.8874774,2.8532734,5.889964,3.8757005,6.028372,6.869025,2.8812318,7
0b00a7bb27f3f6b50d1e0168,-2.0990472,-1.0994197,8.273401,3.1740327,3.068659,5.080838,4.288244,4.785569,6.7907605,3.6741493,-1
0b8d0ef7f51c4b00ee75b62e,-2.8407729,-0.73812854,7.7570877,2.5289721,3.1296854,4.5879745,4.061322,6.187605,6.1440196,4.1245394,-1
0bb5cc74ae63f7a2028e972c,-2.8613067,-0.5939805,7.39648,2.6444497,3.4199703,4.0846496,3.5822709,5.3501725,6.255097,3.6806388,6
0bd72840712b429899d7cce8,-2.5200405,-1.2682244,7.593116,2.7303069,3.057647,4.5433216,3.822671,6.1457915,6.0648994,3.0892448,1
0bf279dfa75fd53f25ac878a,-2.9279325,-1.1242143,7.65277,1.910939,3.3775551,4.54093,3.842212,5.2520075,6.862339,3.1831892,5
0c163007d6963d213d72444b,-2.9134662,-0.8784483,7.517675,2.3697717,3.1339228,4.7562084,4.334253,5.705817,5.6117926,3.0665808,2
0c67a9fe0095f1b0886d916d,-2.7293406,-1.2500589,7.9038596,2.077069,3.0135055,4.3054385,3.7169101,5.5393605,6.7769966,3.5448604,5
0e624bd11740e837cd8bdfcf,-2.639589,-1.2030667,7.706479,2.8882272,3.3396225,5.157343,3.7543058,5.2363276,6.140019,3.8099735,0
0f1375884bdc17a024a52f43,-2.5777712,-0.6991854,7.7365756,2.3810282,3.484977,4.17954,3.9035885,5.8913875,6.7544494,2.93222,4
0f1e6f3a8f38ef2322bdad85,-2.5786328,-0.92351705,7.494861,2.593957,2.9083872,4.814411,3.8812046,4.9803,6.112408,3.0144262,-1
0f4d3ab102c28973d59a9a56,-2.312361,0.06784058,7.908173,1.8219239,3.607955,5.1840515,4.270457,6.331907,6.397958,3.612668,2
0fe2fa37e650802c0d276aad,-3.0589428,-0.7104175,6.214976,2.8070009,1.7093127,5.4897127,1.7445922,5.8145046,4.970694,4.6269517,-1
1030d1b6cc8978771c34e5e7,-3.230956,-0.7282562,7.777064,2.2448523,3.0014167,4.380002,3.199492,5.7465787,6.1176276,3.0089731,-1
1032cd4667d0ded1dc34105b,-2.8311522,-0.5339096,7.3599205,2.6233246,3.1141028,4.3456516,3.7663038,4.883671,6.3072023,3.3581095,6
115d0184fd63f8afef57aaac,-2.926307,-0.7855043,7.7619815,2.9747195,3.4271417,4.3077683,3.3993943,6.161548,6.357392,3.170113,7
1280670923a8c59344c891a1,-2.633024,-1.0932517,7.546312,2.4311874,3.0751348,5.1703606,4.0065413,5.8205514,6.5804644,2.526659,4
1384cd1701545166777e1fc2,-3.4264834,-0.6930477,7.8904114,2.464686,3.350939,4.98766,3.9341228,5.78374,5.641984,3.1913257,-1
153b6454be343f4ed4b91ef5,-2.6350164,-0.41442508,7.74587,2.3144658,2.6022413,4.537071,3.753144,5.682498,6.8722725,3.6894877,5
153e181ea15a91ef8f51118f,-2.507057,-1.20184,7.296454,2.9075928,3.1360657,5.237298,3.824184,6.3209405,6.5989437,3.0497015,7
16a8207e0f875788d19f9a4c,-2.5824344,-0.45294303,7.556621,2.5485313,3.2980223,4.939492,4.4562383,5.6905518,5.798223,3.188794,2
1757127b75d5de3b4ff86bb0,-2.9345777,-0.90530473,7.6659145,2.4941335,3.9157279,3.662834,4.8108478,5.44765,5.7292867,3.41584,-1
1866f22b5f4b5b5f09762460,-2.8753881,-0.6285394,7.9871078,2.2957013,3.2238033,5.1004324,3.830598,5.760507,6.8619204,2.5459425,4
18793ad6bd13002d5d7f8d1d,-2.9206026,-0.4544339,7.134755,1.949033,3.5304036,4.4951468,3.3685262,5.5455008,5.7996244,3.3987608,-1
18edee8b8fb63a46e09944e7,-3.5264997,-0.89961773,7.5459247,2.7377734,3.8240511,4.5608373,3.977572,5.1743064,5.993129,3.5959651,8
