group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0003_r0000,2,32,"best, president, talk, trumps, director, life, wall, law, day, live, property, girls, budget, actor, pal"
docform_cluster,c0003_r0000,1,17,"release, billionaire, writing, property, new, girls, post, new york, york, towers, telling, court, talk, law, federal"
docform_cluster,c0003_r0000,0,16,"news, new, york, new york, media, tax, trumps, business, public, hillary, president, election, story, cuts, friends"
