doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
5f29e2cc5736843553002b9f,7.32201,7.0973806,0.9759278,6.3713684,6.309737,2.993621,5.979346,4.079623,8.149477,3.6159937,1
06f21de5e9fbb69a455363bd,7.0104423,7.3182125,1.8744907,5.454181,6.5109863,4.1226535,6.414353,3.635455,8.120575,3.1845698,2
0a942004fd2d6d6dc09d0dcd,6.69987,5.7530327,0.51608586,5.9898076,6.4682045,3.8087652,6.0604568,3.727294,8.113802,3.80542,0
0e9403796fc475a102487770,6.6538525,6.443822,1.1727083,5.886972,6.3957458,4.193986,6.3896666,3.0169735,7.637131,3.8769386,0
104192405d59e5a4cc9ee909,6.833939,7.3119354,1.3306786,6.5437875,6.7163672,4.307273,6.3625665,3.7464437,8.528011,2.7402031,-1
1202c21106ffd7e5cbfde332,6.2378983,6.711473,1.53698,5.546112,6.1166444,4.306818,5.7836995,3.625455,7.5219297,2.8145988,2
14a9f1f01b253671712dbd23,6.6382284,7.2865715,1.6146337,5.531635,6.7376537,4.284514,6.656866,3.538785,7.8070555,3.2478302,2
1ba24a198dc6239bdfdaa412,6.8097477,6.981603,1.1009628,6.3696375,6.3524213,3.837818,5.9103656,3.9939322,8.643559,2.8256342,-1
1d64b0e6eadc91383415f4bb,5.897325,6.0259957,0.7066914,5.8147583,6.257844,3.847841,5.865974,3.7864575,7.262411,3.6289196,0
1ea85cc77f10b7cbdac50cf6,7.182136,7.333751,1.580897,5.825708,6.482222,3.8664455,6.4029765,3.1752884,8.628122,3.4433582,2
20d1fe7b858ad0e0a43aee77,7.068024,6.5550594,1.572463,5.2193046,6.3979325,4.123339,5.9229865,3.841372,7.676825,2.9931903,2
27d3363ac6a6a3045255bcc2,7.6924896,6.586755,1.1050375,5.796511,6.5841365,3.2604818,6.248398,3.9909368,8.087105,3.9086697,2
2c9d39b43c5f13412e6197e6,6.566116,5.616649,0.51132303,5.843505,6.5587597,3.8052921,6.0043373,3.925698,7.807969,3.6501334,0
2d452a79f05388208c5250db,6.941546,7.372315,1.7793919,5.5547376,6.7699475,4.2384677,6.789057,3.469996,8.025636,3.419793,2
2ff0f228c01c82c504e86338,6.7575884,6.735942,1.5593852,5.4897885,6.3353024,4.327703,6.207426,3.009528,7.9775248,3.4818728,-1
3924b7d37d47d3dae56e6cfb,7.4985704,6.9196143,1.0653173,6.249926,6.2457314,3.2053025,5.807383,3.7794816,9.294017,3.0909998,1
3d039e7570548246d3ca5b77,7.528774,6.722127,1.7098317,5.2039833,6.6959853,3.9038012,6.3983912,3.8191204,7.873677,3.6377668,2
3e1097c085b8e8cde080a0d3,6.7782598,7.387396,1.2667041,6.6336184,6.696468,4.2744927,6.3373165,3.7755682,8.605147,2.6584046,-1
3fa76a835be6342b5cae5a79,6.901197,7.1216426,0.9956804,6.4125905,6.0110564,3.1092312,5.749117,4.0244994,7.955265,3.4203024,1
4015e0d74541dfafcf5c4c6e,7.7872114,7.0614305,0.98918456,6.44072,6.1933494,2.9021916,5.6761656,3.8916044,9.328166,3.0203094,1
41535b93f500d7ab1bbae830,7.7063127,6.7142997,0.75557464,6.232098,6.636769,2.9242883,6.1546545,4.1625686,8.4302,3.8577209,1
50276ebda38f2afda21e2ac2,6.3134065,5.6374283,0.45962727,5.8416257,6.472389,3.846465,5.9658275,3.8392398,7.669414,3.6997106,0
58258ed577e9905d150c1f32,7.771548,7.024693,1.0301673,6.404462,6.2225914,2.9430509,5.705358,3.9225397,9.302122,3.0371943,1
58ca7ef4cadfbeecb3384178,7.7514367,6.929722,0.8776984,6.307537,6.4989834,2.8212583,6.0363827,4.124207,8.600881,3.6495066,1
5acb3c22da4f68a4230fa91b,6.2601805,6.302427,0.98571265,5.8941116,6.285684,4.279765,6.0355754,3.1784468,7.3227015,3.2577837,0
5baf40719ba66f7d1b0d8fbc,5.9353166,7.207816,1.7997069,5.4840593,5.864926,4.141826,6.001846,3.8276744,7.0048647,3.5679681,2
60aa76da4e98af0686b0a0b2,6.731211,7.3403926,1.2744558,6.604949,6.546221,4.162419,6.1855674,3.91621,8.666787,2.62952,-1
63e21dd3c781f30202cbefc3,7.4996657,6.669534,1.695501,5.164298,6.6123576,3.9370089,6.3026605,3.8250585,7.8319764,3.5326188,2
64aa5d783057ebcf1a96a93f,6.8931503,6.286721,1.0944868,5.8689218,6.4779735,4.089505,6.3767333,3.141116,7.5262537,3.816998,0
65eb99e9ef5bd9de540279b1,7.087603,7.398998,1.7598145,5.5826726,6.647675,4.1420736,6.596547,3.2718222,8.385632,3.2792861,2
6d220f65ff9ff221982af667,5.977724,5.791073,0.7121836,5.7351775,6.28741,3.95476,5.7761064,3.6041312,7.2230625,3.717008,0
6d6051924972b232d0ab97a4,6.5782895,6.6711955,0.9526131,6.1033635,5.942476,3.4862614,5.677101,3.7899017,7.641755,3.4400604,-1
7529d684fee8bba9bb660ee5,6.99758,6.181549,0.56222385,6.159801,6.464814,3.44675,5.9543624,3.9290123,8.4203205,3.5810966,1
79580a6f376cf41f613da9af,6.935594,7.0946784,0.9620588,6.423732,6.0350513,3.075554,5.748009,4.0331316,7.9668827,3.4506316,1
7db64dcbf1ea49764e391b6e,5.972589,7.037484,1.6353964,5.6214275,5.8464594,4.0667663,5.910825,3.5333643,7.3384786,3.6127665,2
872f4df69bb0c66f90b299d0,6.247791,5.9937305,0.41824192,5.903864,7.0211587,4.1837945,6.2376666,3.9600484,7.691721,2.7627153,-1
883d9fc3614add84b643d567,6.546487,6.07706,0.871065,5.687176,6.6785364,4.031532,5.972525,4.159608,7.904809,2.9063866,-1
88813c2601a61ec0b5646079,6.3573837,7.3891664,1.8800491,5.452671,6.199049,4.1741796,6.2123337,3.6477048,7.6411796,3.2814848,2
8cd8bc0f407090ec3747d685,6.6445107,7.035562,1.4826709,5.7436686,6.7153616,4.1536584,6.875779,3.3196344,7.6244054,4.056472,2
8e08bfba6366dd8e818ecb32,7.6781397,7.0235043,1.1041777,6.25502,6.291912,3.0788453,5.8569684,3.7509758,9.401462,3.1479,1
8f0ee40eeffbf99aa6e34a6b,6.0737414,5.9053483,0.2680654,6.0103273,7.016283,4.264456,6.2681217,3.8318427,7.658282,2.9386168,-1
