group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0001_r0000,2,33,"white, house, president, women, white house, global, special, political, months, view, day, peter, private, nearly, meeting"
docform_cluster,c0001_r0000,1,32,"general, new, york, new york, state, events, palm, president, project, author, high, house, private, public, related"
docform_cluster,c0001_r0000,0,11,"policy, foreign policy, foreign, post, arab, washington, new, daily, military, war, david, president, world, american, street journal"
