doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
a2d4c4624e434b381d523764,-0.5854025,6.9376187,5.5696893,1.9537102,4.4304423,6.452506,2.7797499,4.35621,3.225673,4.5213165,1
01b3924f32ca09fedd7d75e7,-0.097255245,7.707766,7.608009,2.758045,3.7270064,6.743511,2.6751256,5.1509786,2.87567,5.61086,0
0515be29218817480c9c781a,0.06410217,7.3251615,5.769449,1.6448194,4.198712,7.092048,3.2860148,4.9298825,2.614965,4.342919,1
060cf07513dd6b9fa7419f3f,11.903115,6.783158,0.49231353,-6.372993,5.948698,6.412646,8.686355,11.318831,3.1234217,7.3787074,-1
08752b2db5d1f300578834de,-0.5074471,7.2664475,5.887703,1.9686065,4.8264146,6.2689514,2.693977,4.6501765,2.6864138,4.761858,1
121ea624859e30d66b23195a,0.21272628,6.7939525,5.747497,2.0623293,3.2337728,6.362091,3.4243212,4.1276274,2.8501594,4.1080403,2
19e65282d675fca478b8a8bc,0.1992587,7.323525,6.9571376,2.59914,3.8159635,6.6006184,3.0296454,4.9564376,2.650555,5.2593727,2
1a3722e72f6627465837c847,-0.33865166,6.8323145,5.8194923,1.974319,4.1771297,6.4038963,2.8192313,4.287313,2.949359,3.8258805,1
1cc4a41b46338d9f84d4e913,0.18966481,7.0556417,6.663956,2.6586993,3.2713861,6.727067,3.1525185,4.5836563,2.7804122,4.5996156,2
1f996bef6081227640b05b32,0.1710055,7.5032296,6.12055,2.0057492,3.4742725,6.881278,3.2188282,4.6764736,2.3112886,4.698685,2
2013925241a2c9f0df290503,-0.7860462,6.2887073,5.8644414,2.6548295,4.17481,6.3557053,2.3290536,4.1750364,3.36811,4.57602,-1
20df75ea1b6f1526c0ae9193,0.3687338,6.9861956,5.8830996,2.0741642,4.5234976,6.189605,3.3867633,4.7640514,2.0813234,4.70239,2
23e5f13ab07cf7f4ee179280,-0.52298635,7.2429733,6.597114,2.3473794,4.4089484,6.105268,2.6990077,4.3805923,2.6533098,4.6995897,1
262545b40c3c15a8c606fc75,-0.20195112,7.448143,7.533432,2.8960392,3.6705377,6.7055063,2.770896,4.9198966,3.075197,5.209594,0
270fe2b3332b7542771995f4,-0.20824891,7.53548,7.6910615,3.009112,3.621352,6.6564226,2.7143254,5.0085115,3.0426967,5.4626155,0
2ca8d7f3a60968f3d24b60b1,-0.39893794,6.8669577,5.6433063,1.8440857,4.427865,6.650258,2.8093202,4.513493,2.9446256,3.9272573,1
2ce0b7b0558de8fe264a3f21,-0.5826758,7.445474,6.4379706,2.1182666,4.177945,6.7040052,2.539232,4.6788573,2.609778,4.400157,1
2e6f1cc06a8cef7864626247,0.01110044,7.1381984,6.4828625,2.4034305,3.2949507,6.4895544,3.1241508,4.186099,2.8759456,4.180604,2
31c521d4dfddf5026a635e80,-0.5376196,7.3160377,5.621546,1.8007029,4.6766267,6.3160367,2.8189518,4.512549,2.9009037,4.8344755,1
333d5a4feed6d8fa8101f685,-0.7867096,6.1662574,5.933903,2.7709801,4.084493,6.420381,2.2612998,4.2326202,3.3599048,4.5265565,-1
359bc508b6f9bae4c1895e87,-0.36034027,6.9873166,5.6623087,1.7179495,4.46455,6.978968,2.7622156,4.8610187,2.5684106,3.8737528,1
368f5bcf0060f82a4f28df45,0.43651158,7.3242497,6.249385,2.208215,3.3443723,7.0397077,3.427735,4.7293777,2.4917133,4.4852667,2
36b94ca4eb34443d3cfa6d14,-0.02223637,6.559852,6.1696754,2.4912243,3.903123,7.024736,2.8310964,4.923078,2.6637328,4.6065545,1
3b683f3174a101b02148d965,0.10383969,6.397522,5.693516,2.3924382,4.167129,6.709922,2.8925292,4.645898,2.767031,4.5967207,1
43e6e4fa7db3a193892bb8a3,-0.09454646,7.360981,6.5392456,1.9372704,4.1819983,5.5781393,3.1573474,4.0354104,2.4447813,4.1873426,2
489787055460aad758c4953f,-0.09638136,6.448242,5.8716273,2.4564106,4.0412235,6.571356,2.8060634,4.3729105,3.0673223,4.390822,1
489d1081a4b7961f86b81028,-0.31573048,6.862825,5.7344933,1.8282592,4.5304117,6.801288,2.7125392,4.7223306,2.6361835,3.7410672,1
4975e5b8d530a21c9821c653,0.15791233,7.457202,6.0422144,2.0532906,3.5960593,6.9759536,3.1280472,4.8349314,2.208278,4.903678,2
4a1ecb427043ae6e5f2d20b3,11.819153,6.785118,0.53385687,-6.291008,6.0068564,6.44314,8.645929,11.264976,3.1813107,7.3749914,-1
4ea5d3c429a8e4903c7638e6,0.34667614,7.1027136,6.0968623,2.1315067,3.4898562,6.077021,3.4442098,4.125439,2.4525356,4.4107223,2
50fc785776bf769b345955a2,-0.20181018,7.5295315,7.5366697,2.7315574,3.8078794,6.8272448,2.6829433,5.1051564,2.9847813,5.2727113,0
51487a0cc11715e20b7c414e,-0.42914534,7.5305486,6.7874207,2.3506193,3.8647127,7.0441008,2.5917182,4.9716005,2.51809,4.826817,-1
514c01278a3a8d478b1d41f1,11.715977,6.640024,0.4512614,-6.210215,6.035582,6.4144874,8.73011,11.309361,3.1998641,7.5240006,-1
5152de0f949482d055ae7038,11.736615,6.639982,0.5336732,-6.2186027,5.908696,6.3180013,8.647189,11.254402,3.0668464,7.5210037,-1
517ed45e51b7e2573ebdd306,11.796879,6.6265116,0.4623897,-6.3129416,5.8524485,6.3054233,8.716718,11.335406,3.020153,7.534316,-1
519ad8b5c3df9b4c28dcda17,-0.5129858,7.6839714,7.5159583,2.7802901,3.5955713,7.002258,2.49493,5.021243,2.8966725,5.1813917,0
541fdc2c3a30c5515a1aff94,-0.40913266,7.3240266,5.8931417,1.7317649,4.5159855,5.7821946,2.9325361,4.162534,2.752916,4.372814,1
556c59a9b64a40858866ec94,-0.085225224,7.4568725,6.7719946,2.1319451,3.775642,6.0476756,3.08593,4.2146893,2.5967827,3.7830355,2
579958611057f087b8bfe8c5,-0.82431656,6.484288,5.7292194,2.4399292,4.2528687,6.503249,2.373248,4.291164,3.3797753,4.5105395,-1
589d9315893f4926647d258d,0.2507392,7.219834,6.1237574,2.0539742,3.678717,6.0315886,3.3741124,4.154345,2.3578432,4.411885,2
