group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0005_r0000,1,49,"need, story, yes, way, thats, written, self, isnt, thing, aware, old, biz, right, laugh, party"
docform_cluster,c0005_r0000,0,12,"yes, right, tax, long, written, closed, fraud, gave, biz, away, gut, gut thats, aware, instead, isnt"
