doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
00150c52885a970269e931f5,4.2622833,6.6253247,2.807124,3.473265,5.629831,3.2681308,2.9833796,7.6683865,7.1828375,6.302962,7
024456928cc8ca0eeed8aaa0,4.351826,5.957187,2.9455547,2.8591118,5.5984626,3.3245487,2.5508382,6.8263173,6.2373223,6.20851,-1
03827740a0dd016fcd0fa2f4,4.797488,5.6260376,2.6915188,2.8065891,5.9444137,3.3651996,2.4860344,7.4838057,6.582243,5.889399,-1
03b34133b276b6c7a5b48637,4.6790943,6.2193832,2.7030206,2.713705,5.1780214,2.8884861,2.5043564,6.860018,6.045842,5.2492332,-1
03dbd8c580b42d969ac46a74,4.6727014,7.169416,2.666805,3.588596,5.4265537,3.0968537,3.2506626,7.836195,7.131278,6.0249715,7
04d5789244416c5b83b83153,4.831503,6.743017,2.225997,3.1251864,6.0971856,3.2970731,2.03092,6.581497,5.8124604,5.6695175,5
05a1aea8b9ae0c5fcd1c5c1f,3.7942924,4.7768,2.5051572,2.253764,7.293191,4.057004,2.2801847,7.2564473,6.1173444,6.0410943,-1
05c6f341e002be4f02f60176,4.408155,4.8534436,2.3208141,2.5394418,6.416694,3.8242292,1.5428085,6.914535,5.7417927,5.841335,2
08622aeeed2dfcddc86a6955,4.6599674,6.200504,2.6796916,2.7138934,5.167267,2.8503985,2.493284,6.810377,6.024032,5.2111645,-1
086a7ba127d2c8ec3ba15da2,4.557825,6.6428995,2.2732358,2.9395826,5.9481354,3.3926456,2.100887,6.393331,5.913656,5.295821,5
08f3035bd2494d8530094be8,5.3099494,6.69136,2.9350433,2.4220486,5.2238407,2.9507527,1.9102377,7.061584,5.6269264,5.5987134,-1
09b0df9406191ebd58cd8f38,5.7571692,4.898768,3.538442,2.778891,7.019748,2.7811866,2.3886132,6.0686564,6.3482995,5.3403296,0
0a21295bda9c67e71be0f72f,4.5285068,5.808714,2.5598252,2.9975605,6.5657005,3.5084329,2.0321972,6.644596,5.7154236,5.9374166,7
0b0ffb6c3dbc731eea71b9af,4.5673656,5.041957,2.4430077,2.884144,6.5590997,3.505041,1.7511424,6.5170937,5.8265386,6.0160027,2
0b5ec6d10137c8805078f9d7,3.9905112,6.3989515,2.627584,2.8666682,5.978505,3.7062201,2.3013644,6.1428905,5.9357424,5.1151237,3
0bc6b8f72ec1a7abbf72802d,4.424095,5.9134183,3.2478578,2.9501014,6.0081987,3.7257233,2.4398544,7.3470693,6.5951505,6.2999945,6
0f920d4dfc172e207f8407b9,4.6269813,5.868397,2.8722627,2.7107913,5.2965655,2.917264,2.5212746,6.8145075,6.282852,5.2408547,-1
11a420b1ae09808d64d32948,4.573635,6.2370176,1.8252999,2.908668,6.370522,3.4280972,2.2992985,6.895266,5.9474497,5.4617357,5
120f7ef744b30094e8d0896d,4.38391,5.384402,2.516467,2.4138095,6.030807,3.44986,1.8749818,6.7893996,5.821012,4.7449656,1
1371583b344edd419e775929,4.0465803,4.699225,2.6830904,2.458646,6.630706,4.0026298,1.9963931,6.972589,6.119044,5.9665914,2
13a95e9a79db74df3c628250,5.9188943,5.1308603,3.5908682,2.6932364,6.4150405,2.8836608,2.1641922,6.1813245,6.6592927,5.086254,0
15b6a9b5d20a4e5ec4c8ff52,5.0022054,6.605029,2.7889328,2.5849483,5.453239,3.073095,1.8377674,6.773174,5.519374,5.495414,-1
16ad7d4e0a1b0088cece40bb,5.3678617,6.034811,2.0033064,3.0098038,6.5913835,3.3185585,1.5867941,6.5808873,5.931371,5.538166,-1
177f4f0d11bf790a91c08d08,4.5185056,6.2166057,3.1593583,2.5996766,6.400655,4.1690016,1.3024439,6.1314044,6.114004,5.6917186,-1
1794a76dd2e1e8c7a2eee1da,4.021843,6.4772954,2.4393425,2.8945084,6.266043,3.925569,1.9908475,5.9068313,6.2467875,5.11278,3
1835f2572740e7e10ace41dd,4.147322,5.1582527,2.519482,2.499674,6.438862,3.9411485,2.1885693,7.2854495,6.0489397,5.773607,2
1843d844bfaee2599ff4fe5f,5.8623075,5.1213026,3.3233619,2.7611763,6.6213875,2.7993433,2.2230608,6.397222,6.784347,5.1276917,0
18b02f64cfe170f4917b82bd,4.7328315,5.5864544,2.8447382,2.5332768,5.944047,3.2573974,2.2021534,6.9225254,6.131276,5.078953,1
