group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0004_r0004,4,33,"world, business, minister, prime, center, science, street, search, american, application, magic, prime minister, president, ms, news"
docform_cluster,c0004_r0004,2,20,"accusers, saying, press, great, stories, friend, media, island, girls, love, met, accused, paris, sex, need"
docform_cluster,c0004_r0004,5,20,"states, committee, united, washington, report, president, bank, nobel, select, pulled, million, products, named, prison, election"
docform_cluster,c0004_r0004,3,18,"woman, underage, lawsuit, sex, lawyer, suit, filed, sexual, new, house, epsteins, case, allegations, billionaire, times"
docform_cluster,c0004_r0004,0,15,"chinese, leaders, war, government, markets, host, beijing, economic, bank, influence, win, impact, long, client, public"
docform_cluster,c0004_r0004,6,15,"virgin, virgin islands, islands, daily news, islands daily, case, prosecutors, daily, federal, deal, victims, attorney, news, sex, justice"
docform_cluster,c0004_r0004,1,10,"harvard, university, school, america, harvard university, cambridge, center, series, english, department, featured, guest, writing, american, org"
docform_cluster,c0004_r0004,7,10,"palm, beach, palm beach, perversion, town, islands daily, perversion justice, islands, virgin, virgin islands, florida, justice, die, daily news, girls"
