human_doc_type,topic_cluster,topic_size,keywords
email_strategy_politics_investment,2,142,"epstein, jeffrey epstein, jeffrey, case, palm, sex, beach, palm beach, mr, news, florida, islands, virgin, dershowitz, mr epstein"
email_strategy_politics_investment,4,109,"trump, china, president, bannon, donald, steve, steve bannon, donald trump, obama, states, kuhn, robert, leaders, united, united states"
email_strategy_politics_investment,5,71,"global, investment, tax, equity, market, growth, report, risk, asset, investors, baml, strategy, markets, income, management"
email_strategy_politics_investment,3,63,"jeevacation, jeffrey jeevacation, know, jeffrey, kathy, ruemmler, kathy ruemmler, don, ito, joi, money, don know, joi ito, people, sure"
email_strategy_politics_investment,0,43,"darren, darren indyke, indyke, pllc, indyke pllc, avenue, new york, york, peggy, floor, floor new, avenue floor, lexington, lexington avenue, new"
email_strategy_politics_investment,1,43,"poetry, poetry america, krauss, harvard, university, america, lawrence krauss, science, school, lisa, lawrence, professor, cambridge, jeffrey, department"
