docform_label,-1,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,6,7,8,9
c0000_r0000,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,0,1,8,0,0
c0001_r0000,43,0,0,0,1,1,2,1,2,2,0,3,4,0,1,1,0,2,0,0,0,3,2,1,0,7,1,0,0,0,0,0,0,1,1,4,0,0,0,0,2,0,1,0,6,0,0,1,0,0,0,0,1,3,0,3,1,1
c0002_r0000,21,0,0,4,1,0,0,0,0,1,1,0,0,2,0,2,2,1,3,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,9,2,2,0,1,3,0,0,0
c0003_r0000,15,1,0,1,0,2,1,0,5,1,2,0,0,5,1,0,9,1,0,0,0,1,0,1,3,0,0,0,1,1,3,0,2,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,20,3,3
c0003_r0001,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
c0003_r0002,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6,1,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
c0003_r0003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c0003_r0004,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
c0003_r0005,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
c0003_r0006,14,0,0,0,0,1,0,4,5,1,0,2,0,0,0,0,2,4,1,2,0,1,0,0,0,1,0,0,3,1,0,0,0,2,3,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,3,0
c0004_r0000,86,0,5,2,2,3,3,14,6,2,9,4,3,2,5,3,20,22,3,15,5,5,10,10,1,7,1,4,9,6,6,4,5,5,2,5,2,6,5,3,7,5,2,5,0,3,5,7,5,1,4,16,2,5,6,11,3,8
c0004_r0001,10,20,0,7,1,2,0,0,3,2,0,1,2,10,0,0,3,5,1,2,0,0,0,0,1,2,0,2,0,0,1,1,3,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,1,2,0,0
c0004_r0002,39,0,0,0,9,2,3,5,1,11,2,2,1,1,0,2,11,9,1,5,5,6,0,0,0,10,4,2,1,15,2,0,0,1,2,3,2,0,0,6,0,0,2,1,4,3,0,3,2,0,1,0,2,7,10,4,0,1
c0004_r0003,73,1,3,0,0,0,9,4,4,2,1,2,4,0,3,0,7,4,2,2,0,1,2,1,2,2,8,4,4,4,2,0,5,12,0,5,8,0,3,0,0,1,0,8,8,12,0,0,1,0,0,0,3,1,2,30,3,1
