human_doc_type,topic_cluster,topic_size,keywords
email_blackmail_social,6,153,"jeffrey, new, york, new york, jeffrey jeevacation, jeevacation, trump, time, want, ny, ok, larry, sunday, richard, yes"
email_blackmail_social,5,145,"jee unlawful, unlawful, unlawful received, received, mail, jee, property jee, property, received error, error, michael, michael wolff, wolff, jeevacation, trump"
email_blackmail_social,3,87,"kathy, ruemmler, kathy ruemmler, steve, jeffrey jeevacation, steve bannon, jeevacation, jeffrey, bannon, politico, blackberry, trump, yes, obama, property"
email_blackmail_social,0,63,"weingarten, weingarten reid, reid, trump, mueller, make, reid trump, lawyer, day, yes, cohen, told weingarten, know, republicans, donald"
email_blackmail_social,1,62,"landon, thomas, thomas landon, landon thomas, financial, reporter, nytimes, thomas financial, financial reporter, reporter new, times topics, topics nytimes, topics, york times, jeffrey jeevacation"
email_blackmail_social,2,57,"larrysummers, glhsummers larrysummers, glhsummers, larrysummers jeffrey, lhs, summers, larry summers, larry, larrysummers jeevacation, jeevacation, jeffrey jeevacation, jeffrey, trump, lhs glhsummers, bad"
email_blackmail_social,4,56,"epstein, jeffrey epstein, jeffrey, history, trump jeffrey, woman history, dailymail news, dailymail, drug, history drug, woman, news article, drug claimed, claimed, age fabricated"
