doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
05b03cf60043e84ece03713e,3.230166,4.5701327,8.16168,8.744738,3.1259649,5.2748957,4.697002,2.8773086,5.5563254,6.589187,2
070a0bb2acd448b45401d4b4,2.4474328,5.4189296,7.805993,9.395101,2.8050613,4.550766,4.448629,2.8084471,5.7382536,6.7038484,2
12a4b360c182071f01ab7ae8,2.5371592,5.519805,7.647619,9.018897,3.16246,4.320826,4.3522234,2.607322,5.327381,6.7140665,2
16daba587cedc2499bb33701,3.430192,4.7897563,7.3329425,9.287446,3.7204645,5.106883,4.297824,2.926548,5.7071633,6.4630876,2
18570c07e0f990a48c7329af,3.2890136,5.056887,8.413153,8.434115,2.7470303,3.8656332,4.830537,2.880893,5.556624,5.9602947,2
1bc8c7dcee1ae594f18bd007,3.0699348,6.0196977,7.2741227,10.302733,3.885988,3.7447648,4.005356,2.613986,5.637017,4.897436,0
20ca8222ed18f70781d125cf,3.3276777,4.6167574,8.082472,9.271983,2.8698628,4.924198,4.9225645,3.061936,6.1172943,6.8999453,2
266d418d6e6e4fd0288d022a,3.5423691,4.845295,8.300351,8.356692,2.9875798,4.0726156,4.8874364,2.983184,5.568226,6.078115,2
2cb89477dfbd68044fdbe3d7,3.0507789,5.030469,7.612871,9.085776,3.3806913,5.307797,4.4730887,2.6916192,5.5920577,7.0665503,2
34ff2436ad7e1efedde498eb,2.9658792,5.3927255,8.07486,8.410725,3.1646967,4.2398405,4.498665,2.6200256,5.367379,6.3285284,2
3c15776a2f49759c86365da7,2.373151,5.3028493,7.8651032,9.146888,2.9063804,5.03663,4.4127994,2.5899086,5.433894,6.9881496,2
3ec82c2d608de01bb458072c,3.628302,4.6200113,8.258977,8.752508,2.9921985,4.402268,4.92964,3.0752687,5.7165756,6.0072293,2
3f7a5606ff0e9f41d7ad7dfe,4.060286,4.599028,7.9164615,8.561287,3.4586132,4.480984,5.016321,3.1462073,5.941262,6.6780705,2
4003f325c9c8983af7f3eda0,2.247054,5.6268377,7.688615,9.400478,2.8688812,4.425612,4.3328195,2.673813,5.488829,6.6425734,2
431c96cbccb2fb9cab08e4c6,2.3950202,5.612098,8.130786,8.657473,2.997845,4.7189064,4.3432674,2.482569,5.212463,6.529625,2
