group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0003_r0006,1,38,"news, love, trumps, doing, story, street, right, great, info, questions, say, sex, really, book, money"
docform_cluster,c0003_r0006,0,18,"guy, doing, story, news, meeting, working, saw, trumps, lot, visit, app, women, djt, idea, info"
