human_doc_type,topic_cluster,topic_size,keywords
ichat_money_list_fbi,1,45,"deleted, cv, total, civil, trump, bureau, foi, pa, total deleted, foi pa, civil action, federal bureau, federal, action, bureau foi"
ichat_money_list_fbi,0,5,"macintosh, hd, macintosh hd, library, archive, root, users, entr macintosh, entr, root users, library archive, hd root, jee, jee library, users jee"
