human_doc_type,topic_cluster,topic_size,keywords
email_power_business_short,6,46,"trump, woody, house, dinner, jeffrey, don, best, sorry, glhsummers, glhsummers larrysummers, friend, larrysummers, tim, asked, got"
email_power_business_short,2,35,"pbi, larry, palm, jeffrey, departure, palm beach, beach, trump, friday, arrival, tsa, depart, time, certified, jeffrey trump"
email_power_business_short,3,32,"york, new york, york ny, new, richard, richard kahn, ny, kahn, floor new, floor, avenue, hbrk, associates lexington, hbrk associates, kahn hbrk"
email_power_business_short,7,27,"epstein, jeffrey epstein, jeffrey, mr, science, trump, american, sex, open, great, life, happy, mr epstein, foxnews, scandal"
email_power_business_short,0,17,"landon, landon thomas, thomas, nytimes, reporter new, financial reporter, thomas financial, people, index, times topics, timestopics people, nytimes reference, tml, timestopics, thomas index"
email_power_business_short,5,16,"cnn, tom, donald, trump, donald trump, meeting, barrack, article, tom barrack, jeevacation, ideas, saw, terms, president, help"
email_power_business_short,1,14,"indyke, darren indyke, darren, jeff epstein, jeff, hoffenberg, epstein, indyke pllc, pllc, steven hoffenberg, steven, indyke darren, rapes, new, york"
email_power_business_short,4,13,"michael, steve, bannon, steve bannon, wolff, michael wolff, based, lead, strategist, trump, jeeyacation, jeffrey, woman, film, jeffrey jeeyacation"
