group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0004_r0003,0,44,"market, global, investment, equity, tech, term, growth, strategy, bank, private, report, group, long, companies, research"
docform_cluster,c0004_r0003,5,38,"palm, estate, real estate, real, sex, property, million, new, trumps, book, post, billionaire, money, business, involving"
docform_cluster,c0004_r0003,7,35,"united, united states, states, york, new york, washington, new, attorney, government, case, party, street, filed, department, federal"
docform_cluster,c0004_r0003,6,19,"chapter, china, new, world, science, europe, text, power, chinas, right, chinese, age, new york, york, partner"
docform_cluster,c0004_r0003,4,17,"tax, budget, law, changes, income, value, taxes, wall street, street, wall, alert, senate, signed, reform, act"
docform_cluster,c0004_r0003,1,10,"magazine, national, palm, palm house, daily, chinese, photos, friend, launching, simmons, ordinary, house, old, times, investors"
docform_cluster,c0004_r0003,2,10,"school, victims, terms, search, university, law, assistant, space, criminal, department, david, box, research, policy, invited"
docform_cluster,c0004_r0003,3,10,"forbes, common, sense, way, president, research, economic, white, science, increases, human, care, regulatory, political, covered"
