group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0004_r0001,1,59,"total, cv, ridiculous, treasury, status, late, impact, error, delivered, child, bo, blackberry, action"
docform_cluster,c0004_r0001,0,27,"total, action, cv, delivered, treasury, status, late, impact, error, child, ridiculous, bo, blackberry"
