group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0007_r0002,1,71,"yes, day, long, ask, trip, great, guy, paris, pretty, new, whats, phone, house, moment, things"
docform_cluster,c0007_r0002,0,12,"new, guys, trumps, travel, yes, person, plans, met, guy, great, weekend, paris, event, financial, europe"
